threshold,precision,recall,f1
2.612944444990717e-05,0.030854674483184203,1.0,0.059862316613584626
2.618369944684673e-05,0.030857848179386957,1.0,0.05986828970444627
2.619051701913122e-05,0.030861022528546445,1.0,0.059874263987422634
2.6216932383249514e-05,0.030864197530864196,1.0,0.05988023946287066
2.6231962692691013e-05,0.030867373186541824,1.0,0.0598862161311474
2.624376975290943e-05,0.030870549495781024,1.0,0.05989219399261006
2.6312811314710416e-05,0.030873726458783574,1.0,0.059898173047615993
2.64010886894539e-05,0.03087690407575134,1.0,0.05990415329652269
2.6417685148771852e-05,0.03088008234688626,1.0,0.05991013473968777
2.641886931087356e-05,0.030883261272390366,1.0,0.059916117377469026
2.659376332303509e-05,0.03088644085246577,1.0,0.059922101210224364
2.6604495360516012e-05,0.03088962108731466,1.0,0.05992808623831186
2.6620737116900273e-05,0.030892801977139325,1.0,0.05993407246208972
2.673718518053647e-05,0.030895983522142123,1.0,0.05994005988191629
2.6765503207570873e-05,0.03089916572252549,1.0,0.05994604849815004
2.6775256628752686e-05,0.030902348578491966,1.0,0.05995203831114963
2.6785981390275992e-05,0.030905532090244155,1.0,0.05995802932127385
2.6843697924050502e-05,0.03090871625798475,1.0,0.05996402152888158
2.6844310923479497e-05,0.030911901081916538,1.0,0.059970014934331926
2.7006928576156497e-05,0.030915086562242376,1.0,0.05997600953798409
